Round,attacker,rival,PitLap,rival_pit_lap,k,gap_s,pair,age_old,tt,rival_age,rival_compound,same_compound,pos_before,rival_pos_before,out_lap,pos_after,rival_pos_after,won,pace_delta_s,step0_s,gain_by_k_s,gain_lap1_s,margin_s,margin_lap1_s,needs_them_out_for,call_ahead,extrapolating
7,BOR,SAI,52,54,2,3.4659999999994398,HARD>SOFT,18.0,50.13541820840996,21.0,HARD,True,15,13,57,14,15,True,0.06900000000000261,1.8118733849829092,3.9658157826389893,2.021597229443594,0.4998157826395495,-1.4444027705558455,2.0,True,False
7,COL,LIN,11,21,10,2.136000000000422,SOFT>HARD,10.0,50.64544235773824,10.0,MEDIUM,False,12,11,24,12,16,True,-0.04233333333334599,1.5343539808257487,15.747336728492591,1.7405451219525425,13.61133672849217,-0.3954548780478795,2.0,True,False
7,COL,GAS,33,38,5,1.0010000000002037,HARD>HARD,20.0,50.17007714210788,18.0,HARD,True,11,10,42,10,9,False,-0.159333333333322,1.9058796875392574,9.584415594838932,2.049532278250413,8.583415594838728,1.0485322782502093,1.0,True,False
7,GAS,LIN,13,21,8,2.2509999999992942,MEDIUM>HARD,12.0,50.55952918929865,12.0,MEDIUM,True,11,10,24,11,16,True,-0.19966666666665844,1.5433269232206885,12.699130512905283,1.7421486666095582,10.448130512905989,-0.508851333389736,2.0,True,False
7,HAD,HAM,14,26,12,5.91399999999976,MEDIUM>HARD,13.0,50.56357763612464,2.0,HARD,False,7,6,29,8,6,False,,1.543470965883472,13.087899917136218,1.1311900139865985,7.173899917136458,-4.782809986013161,6.0,True,False
7,HAD,PIA,31,35,4,20.813999999999396,HARD>HARD,15.0,50.23288604921122,16.0,HARD,True,8,6,38,8,7,False,0.3580000000000041,1.9081144117716722,8.132766050411792,2.1216242854580325,-12.681233949587604,-18.692375714541363,,False,False
7,HAM,RUS,10,11,1,3.1840000000001965,SOFT>HARD,11.0,50.75549885116822,9.0,MEDIUM,False,2,1,14,5,3,False,0.20400000000000773,1.5382697616304983,1.648760062520997,1.648760062520997,-1.5352399374791994,-1.5352399374791994,,False,False
7,HAM,RUS,26,35,9,2.175999999999476,HARD>MEDIUM,14.0,50.369787199608055,13.0,HARD,True,2,1,38,1,3,True,-0.0010000000000189857,2.179529255532392,19.316390718195198,2.3378699765410382,17.14039071819572,0.1618699765415621,1.0,True,False
7,HUL,PIA,12,13,1,10.980999999999767,SOFT>HARD,11.0,50.55790841360676,11.0,MEDIUM,False,8,7,16,12,7,False,0.9636666666666827,1.5312395463429516,1.7337459886007833,1.7337459886007833,-9.247254011398983,-9.247254011398983,,False,False
7,LAW,PIA,10,13,3,8.2800000000002,MEDIUM>HARD,9.0,50.75549885116822,9.0,MEDIUM,True,8,7,16,10,7,False,0.5509999999999877,1.550299471739603,5.181039065744105,1.7601753117353585,-3.0989609342560946,-6.519824688264841,,False,False
7,LAW,VER,34,39,5,36.08599999999933,HARD>HARD,22.0,50.15628370900777,4.0,HARD,True,9,7,42,11,5,False,3.673333333333318,1.9053889208531523,7.0435727560932655,1.438192142170348,-29.042427243906065,-34.64780785782898,,False,False
7,LEC,HAM,38,39,1,10.507000000000517,HARD>HARD,21.0,50.15617116204259,10.0,MEDIUM,False,3,2,43,6,1,False,1.825000000000017,1.905384916462024,1.7878798740820991,1.7878798740820991,-8.719120125918417,-8.719120125918417,,False,False
7,LIN,PIA,21,35,14,15.30199999999968,MEDIUM>HARD,20.0,50.483434285638246,6.0,HARD,False,8,7,42,13,7,False,3.4869999999999948,1.5406194867595926,15.076666447252528,1.220608002121836,-0.22533355274715205,-14.081391997877844,,False,False
7,NOR,ANT,12,13,1,2.06899999999996,MEDIUM>HARD,11.0,50.55790841360676,11.0,MEDIUM,True,3,2,16,5,4,False,-0.26900000000000546,1.5432692564520563,1.7457756987098882,1.7457756987098882,-0.32322430129007174,-0.32322430129007174,,False,False
