Round,Event,Driver,PitLap,InLap,t_inlap,t_outlap,t_old,t_new,pit_loss_s,green
8,Austrian Grand Prix,STR,22.0,24.0,97.078,108.627,76.61133333333332,75.00833333333334,54.08533333333334,False
8,Austrian Grand Prix,ALB,17.0,18.0,78.858,91.904,74.96966666666667,73.889,21.903333333333336,True
8,Austrian Grand Prix,ALB,36.0,37.0,78.04,91.91,74.382,73.44633333333333,22.12166666666667,True
8,Austrian Grand Prix,HUL,20.0,21.0,78.389,90.115,74.53566666666666,72.93499999999999,21.033333333333346,True
8,Austrian Grand Prix,HUL,44.0,45.0,77.06,89.611,73.01800000000001,72.41166666666668,21.241333333333316,True
8,Austrian Grand Prix,VER,17.0,18.0,76.633,88.537,72.70800000000001,71.791,20.670999999999992,True
8,Austrian Grand Prix,VER,48.0,49.0,77.001,87.513,72.56366666666666,70.69433333333335,21.256,True
8,Austrian Grand Prix,LAW,18.0,19.0,78.467,91.043,74.349,73.13466666666666,22.02633333333334,True
8,Austrian Grand Prix,LAW,44.0,45.0,78.081,89.493,73.63566666666667,72.127,21.811333333333337,True
8,Austrian Grand Prix,OCO,17.0,18.0,79.724,91.801,75.44066666666667,74.16066666666667,21.923666666666662,True
8,Austrian Grand Prix,OCO,32.0,33.0,78.946,94.072,73.345,73.07,26.60300000000001,True
8,Austrian Grand Prix,LIN,17.0,18.0,77.791,89.66,74.44333333333334,72.89566666666666,20.111999999999995,True
8,Austrian Grand Prix,LIN,45.0,46.0,77.63,90.286,73.95433333333334,72.04766666666667,21.913999999999987,True
8,Austrian Grand Prix,COL,19.0,20.0,79.177,92.123,74.554,72.979,23.76700000000001,True
8,Austrian Grand Prix,COL,45.0,46.0,77.878,90.778,74.305,72.205,22.146,True
8,Austrian Grand Prix,HAM,11.0,12.0,77.539,89.201,73.33366666666666,72.473,20.933333333333337,True
8,Austrian Grand Prix,HAM,23.0,25.0,98.849,101.949,72.75533333333334,71.25333333333333,56.78933333333333,False
8,Austrian Grand Prix,HAM,41.0,42.0,76.494,88.003,72.28266666666667,71.20233333333333,21.012,True
8,Austrian Grand Prix,BOR,16.0,17.0,78.144,90.698,74.29233333333333,72.87299999999999,21.676666666666677,True
8,Austrian Grand Prix,BOR,43.0,44.0,78.407,89.12,74.109,72.19333333333333,21.22466666666668,True
8,Austrian Grand Prix,SAI,13.0,14.0,78.818,91.666,75.28733333333332,74.10366666666665,21.093000000000018,True
8,Austrian Grand Prix,HAD,17.0,18.0,76.939,89.177,73.58033333333334,71.635,20.900666666666652,True
8,Austrian Grand Prix,HAD,39.0,40.0,75.797,87.758,72.45666666666666,71.45700000000001,19.64133333333332,True
8,Austrian Grand Prix,RUS,18.0,19.0,77.085,89.073,72.865,71.538,21.754999999999995,True
8,Austrian Grand Prix,RUS,42.0,43.0,76.208,87.853,72.13133333333333,70.93633333333334,20.993333333333325,True
