Round,Driver,PitLap,c_old,c_new,age_old,age_new,t_old,t_new,fuel_old,fuel_new,close_old,close_new,step_obs,pair,d_fuel,d_close,tt
7,VER,11.0,SOFT,MEDIUM,13.0,3.0,84.153,82.00633333333333,60.45454545454546,55.151515151515156,0.00992063492063492,0.08130081300813008,2.1466666666666754,SOFT>MEDIUM,5.3030303030303045,-0.07138017808749517,50.02625340539538
7,VER,28.0,MEDIUM,HARD,15.0,3.0,83.33466666666668,81.49566666666668,42.42424242424242,37.121212121212125,0.041952240098117016,0.034552845528455285,1.8389999999999986,MEDIUM>HARD,5.303030303030297,0.007399394569661731,50.02625340539538
7,VER,39.0,HARD,MEDIUM,9.0,3.0,81.96733333333333,80.485,30.75757575757576,25.454545454545457,0.02032520325203252,0.11424705416251309,1.4823333333333295,HARD>MEDIUM,5.3030303030303045,-0.09392185091048057,50.02625340539538
8,ALB,17.0,MEDIUM,MEDIUM,16.0,3.0,74.96966666666667,73.889,55.2112676056338,50.28169014084508,0.024489187173750936,0.29734326162897595,1.0806666666666729,MEDIUM>MEDIUM,4.929577464788721,-0.272854074455225,51.092599240344256
8,ALB,36.0,MEDIUM,HARD,17.0,3.0,74.382,73.44633333333333,36.478873239436616,31.549295774647888,0.06680129794223753,0.14093545600394916,0.9356666666666769,MEDIUM>HARD,4.9295774647887285,-0.07413415806171163,51.092599240344256
8,ALO,22.0,MEDIUM,SOFT,21.0,3.0,76.23233333333333,75.10366666666665,50.28169014084508,44.36619718309859,0.33241600733860793,0.20812362030905077,1.1286666666666747,MEDIUM>SOFT,5.915492957746487,0.12429238702955717,51.092599240344256
8,ALO,48.0,SOFT,SOFT,23.0,3.0,75.71900000000001,73.264,24.64788732394366,19.718309859154928,0.20346320346320346,0.6034718941898914,2.4550000000000125,SOFT>SOFT,4.929577464788732,-0.400008690726688,51.092599240344256
8,ANT,23.0,MEDIUM,HARD,22.0,4.0,73.29733333333333,71.60966666666667,49.29577464788732,43.38028169014084,0.027212143650499815,0.841508029008029,1.687666666666658,MEDIUM>HARD,5.91549295774648,-0.8142958853575292,51.092599240344256
8,ANT,50.0,HARD,HARD,25.0,4.0,72.02699999999999,70.43266666666666,22.67605633802817,16.76056338028169,0.18901749591404768,0.07328605200945627,1.5943333333333243,HARD>HARD,5.915492957746483,0.1157314439045914,51.092599240344256
8,BEA,23.0,MEDIUM,HARD,22.0,4.0,75.01766666666667,73.07600000000001,49.29577464788732,43.38028169014084,0.21769402096883317,0.20022986363495168,1.9416666666666629,MEDIUM>HARD,5.91549295774648,0.017464157333881486,51.092599240344256
8,BEA,44.0,HARD,MEDIUM,19.0,3.0,74.13033333333333,72.83533333333334,28.591549295774644,23.661971830985916,0.13879315557167907,0.06122448979591837,1.2949999999999875,HARD>MEDIUM,4.9295774647887285,0.07756866577576069,51.092599240344256
