round,driver,lap,issued_s,label_s,control_selection_s,pair,new_compound,old_age,new_age,raw_step_s,control_step_s,relative_step_s,controls,control_n,placebo_relative_s,pretrend_corrected_s,control_mad_s,pre_traffic,post_traffic,pre_mean_s,post_mean_s
4,COL,30,6556.866,7134.628,7134.628,MEDIUM>HARD,HARD,30,2,1.213000000000008,-0.24066666666665526,1.4536666666666633,"BEA,VER,STR,RUS,ALO",5,-0.028333333333350197,1.4820000000000135,0.5410000000000394,0.06903633333333335,0.07168433333333334,94.302,93.089
4,OCO,30,6576.641,7134.628,7134.628,MEDIUM>HARD,HARD,30,2,1.5846666666666493,-0.24066666666665526,1.8253333333333046,"STR,ALO,BEA,VER,RUS",5,-0.13266666666665117,1.9579999999999558,0.5410000000000394,0.13088999999999998,0.06560300000000001,95.46233333333333,93.87766666666668
4,BOR,31,6676.028,7233.29,7233.29,MEDIUM>HARD,HARD,31,2,1.4006666666666518,-0.26233333333334485,1.6629999999999967,"STR,BEA,ALO,ALB,LEC",5,-0.3653333333333393,2.028333333333336,0.269999999999996,0.070056,0.06939533333333334,95.08433333333333,93.68366666666668
4,STR,36,7199.423,7726.412,7726.412,SOFT>SOFT,SOFT,18,2,1.7220000000000084,-0.14400000000000546,1.8660000000000139,"BOT,LIN,BEA,OCO,ALB",5,-1.2309999999999945,3.0970000000000084,0.2463333333333253,0.09422900000000001,0.063158,96.79333333333334,95.07133333333333
4,ALO,40,7567.875,8122.711,8122.711,MEDIUM>SOFT,SOFT,40,2,2.441666666666663,-0.19133333333331848,2.6329999999999814,"PER,LIN,ALB,OCO,BEA",5,-0.4410000000000025,3.073999999999984,0.08133333333333326,0.15074566666666667,0.460286,96.99366666666667,94.552
6,OCO,8,3976.972,4422.136,4422.136,MEDIUM>HARD,HARD,8,2,1.8826666666666512,0.48033333333333417,1.402333333333317,"COL,LIN,STR,ALO,SAI",5,,,0.31799999999999784,,,79.53699999999999,77.65433333333334
6,HUL,11,4212.078,4668.054,4668.054,MEDIUM>HARD,HARD,11,2,2.879333333333335,0.1353333333333353,2.7439999999999998,"LIN,COL,SAI,STR,ALO",5,-0.3236666666666679,3.0676666666666677,0.529666666666671,,,79.279,76.39966666666666
6,HAM,27,5412.943,5920.031,5920.031,MEDIUM>HARD,HARD,27,2,1.061333333333323,0.12000000000000455,0.9413333333333185,"PIA,GAS,NOR,BOR,ANT",5,-0.4746666666666641,1.4159999999999826,0.14699999999999136,,,77.98233333333333,76.921
6,RUS,30,5680.957,6156.414,6156.414,MEDIUM>HARD,HARD,30,2,1.8996666666666613,-1.329666666666668,3.2293333333333294,"BOR,OCO,PER,PIA,LAW",5,0.6713333333333509,2.5579999999999785,0.2540000000000049,,,78.74433333333333,76.84466666666667
6,HAD,31,5759.168,6236.085,6236.085,MEDIUM>HARD,HARD,31,2,0.6216666666666697,-0.45400000000000773,1.0756666666666774,"LAW,OCO,STR,BOR,PIA",5,0.452666666666687,0.6229999999999905,0.4823333333333295,,,78.78366666666666,78.16199999999999
6,COL,34,6032.634,6478.295,6478.295,MEDIUM>HARD,HARD,34,2,2.221333333333348,-1.046999999999997,3.268333333333345,"LIN,SAI,LAW,HUL,PER",5,-0.5980000000000132,3.8663333333333583,0.7763333333333406,,,80.33033333333334,78.109
6,LEC,34,5958.736,6478.295,6478.295,MEDIUM>HARD,HARD,34,2,0.7996666666666528,-0.18533333333334667,0.9849999999999994,"BOR,PIA,ALO,GAS,STR",5,-0.5346666666666806,1.51966666666668,0.29299999999999216,,,77.83066666666666,77.031
6,ANT,36,6091.995,6640.114,6640.114,MEDIUM>HARD,HARD,36,2,0.039666666666676065,-0.6720000000000113,0.7116666666666873,"RUS,HAM,HAD,GAS,PIA",5,0.6753333333333273,0.036333333333359974,0.4676666666666591,,,76.58266666666667,76.54299999999999
